date,stress,acwr,atl,ctl28,ctl42,daily_load,monotony,strain,weekly_load,injury,daily_load_roll7,daily_load_roll14,weekly_load_roll7,weekly_load_roll14,strain_roll7,strain_roll14,monotony_roll7,monotony_roll14,acwr_roll7,acwr_roll14,atl_roll7,atl_roll14,ctl28_roll7,ctl28_roll14,ctl42_roll7,ctl42_roll14,stress_lag1,stress_lag7,label_next_10_15
2021-03-22,3.0833333333333335,0.7578036242837853,328.77154285714283,331.4497714285714,319.1041238095238,470.4,1.0374596778268483,3365.116468919591,2301.4,,330.4857142857143,288.95714285714286,2457.085714285714,2143.8714285714286,3731.412804064695,3135.9065344169403,1.1055049063208613,1.0028943148679474,0.8296302540581061,0.8356882110672625,351.0121673469388,305.7081040816326,331.0085265306123,289.541506122449,321.20383401360544,288.61428843537414,3.259259259259259,3.138888888888889,0
2021-03-23,3.1142857142857143,0.7505391590343631,335.9717428571429,341.736,323.96652380952384,453.8,1.0348831237010199,3405.8725901778043,2351.8,,337.6857142857143,304.87142857142857,2439.9714285714285,2187.4,3641.278553348343,3221.945993066279,1.0792256934852797,1.0090084537525732,0.8110294610652508,0.8211076137026943,348.5673714285714,312.0918244897959,333.1983142857143,296.75603469387755,321.52416598639456,295.4280823129252,3.0833333333333335,3.121212121212121,0
2021-03-24,3.259259259259259,0.7386583576655541,334.31388571428573,343.4855428571428,321.2668380952381,388.0,1.0269616811218334,3386.655950636308,2340.2,,336.8857142857143,322.15714285714284,2398.914285714286,2230.3785714285714,3528.240895434643,3333.3548174605353,1.0561761501662077,1.0262155464325187,0.78362925498362,0.8093907387770611,342.7019469387755,318.3540387755102,335.5278122448979,303.55961020408165,321.5963156462585,300.9782517006803,3.1142857142857143,3.1,0
2021-03-25,3.1944444444444446,0.7185686601627133,321.2570857142858,341.3497142857143,319.05716190476187,267.8,1.0029616811218331,3203.551950636308,2248.8,1.0,323.8285714285715,315.07142857142856,2351.828571428571,2290.535714285714,3428.9597083117274,3450.1252605673094,1.041607341364694,1.0498263166514572,0.7622127524874333,0.8097501537688084,335.9754244897959,327.12748571428574,336.92771020408156,313.34738571428574,321.04331156462587,307.56835714285717,3.259259259259259,3.2,0
2021-03-26,3.088235294117647,0.6902584224145449,306.25737142857145,340.3001142857143,319.1146285714286,284.0,0.9825508362854641,2975.1045889423826,2143.8,,308.8285714285715,331.7142857142857,2306.8571428571427,2406.057142857143,3339.0166480715457,3605.7155744932447,1.029423771568393,1.0950794879485037,0.7474151838011006,0.8279878115833987,329.55105714285713,343.7224306122449,336.8195183673469,330.8843775510204,320.34002721088433,320.98320408163266,3.1944444444444446,3.3225806451612905,0
2021-03-27,3.25,0.7412586812903599,344.28514285714283,354.2140571428572,323.23825714285715,494.6,1.0991396121141375,3779.0790690739314,2410.0,,346.85714285714283,346.8285714285715,2307.714285714286,2407.957142857143,3354.4833707073003,3632.2845275277527,1.0295528840333308,1.0948925680057866,0.7406255610704019,0.8131974990768595,329.6734285714286,343.99379387755107,339.84900408163264,333.8333163265306,320.5720544217687,321.2465149659864,3.088235294117647,3.193548387096774,0
2021-03-28,3.36,0.7370267271282901,342.57079999999996,354.4500285714286,322.8237142857143,63.8,1.0902925980356368,3731.524383324816,2398.0,,346.0571428571429,343.14285714285717,2313.4285714285716,2403.057142857143,3406.7007145301636,3619.713581894266,1.0391784586009674,1.0857776426446064,0.7334448045685159,0.7963979295223247,330.4896530612245,343.29376122448974,343.8550326530612,336.6955387755102,321.2244639455782,321.4101027210885,3.25,3.259259259259259,0
2021-03-29,3.25,0.7027536627571617,325.0577714285714,350.76508571428576,323.0662857142857,341.8,1.0451465318491,3437.7079538899125,2275.4,,327.6857142857143,329.0857142857143,2309.714285714286,2383.4,3417.0709266687804,3574.241865366738,1.0402765806041463,1.0728907434625037,0.7255805243504267,0.7776053892042664,329.9591142857143,340.48564081632657,346.6143632653061,338.8114448979592,321.7904870748299,321.49716054421776,3.36,3.0833333333333335,0
2021-03-30,3.090909090909091,0.695789200109574,318.2861142857143,347.4218571428571,326.6477333333334,406.4,0.987378057386142,3170.7227982154527,2228.0,,320.9142857142857,329.3,2292.0285714285715,2366.0,3383.4780992455876,3512.3783262969655,1.0334901425591638,1.0563579180222218,0.7177591016468854,0.7643942813560681,327.4325959183674,337.99998367346933,347.4266285714286,340.3124714285714,322.17351700680274,321.84884149659865,3.25,3.1142857142857143,0
2021-03-31,3.3,0.6522732303949212,297.1714571428571,340.1211714285714,322.21882857142856,228.2,0.9973529264221596,3147.0030869549255,2080.2,,298.0857142857143,317.4857142857143,2254.8857142857146,2326.9,3349.241975862533,3438.7414356485874,1.0292603204592103,1.0427182353127091,0.7054183691796522,0.7445238120816361,322.12653469387755,332.4142408163265,346.9460040816327,341.23690816326524,322.30951564625855,321.95291564625853,3.090909090909091,3.259259259259259,0
2021-04-01,3.1666666666666665,0.44121845122675873,129.08520000000001,116.59260000000002,136.4526,153.2,0.5442,1417.59,903.6,,281.7142857142857,302.7714285714286,2062.714285714286,2207.2714285714287,3094.10455434306,3261.5321313273935,0.9637229374418057,1.00266513940325,0.6657969107602301,0.7140048316238318,294.6734081632653,315.32441632653064,314.8378448979592,325.8827775510204,296.2231496598639,308.63323061224486,3.3,3.1944444444444446,0
2021-04-02,3.1666666666666665,1.0138199190584671,340.1718,289.9642,237.03820000000005,268.2,1.1439999999999997,3837.138,2381.2,,279.45714285714286,294.14285714285717,2096.6285714285714,2201.7428571428572,3217.252184494148,3278.1344162828473,0.9867871036867394,1.0081054376275662,0.7120199817093619,0.7297175827552312,299.5183265306122,314.5346918367347,307.647,322.23325918367345,284.4979455782313,302.41898639455786,3.1666666666666665,3.088235294117647,0
2021-04-03,3.066666666666667,0.8598962535582596,313.11442857142856,301.6354,308.618961904762,379.2,0.9268709720412993,2809.3133635234235,2191.8,,262.9714285714286,304.9142857142857,2065.457142857143,2186.5857142857144,3078.714226558361,3216.5987986328305,0.9621772979620482,0.9958650909976895,0.7289682063190617,0.7347968836947318,295.06536734693873,312.36939795918363,300.13576326530614,319.99238367346936,282.409474829932,301.4907646258503,3.1666666666666665,3.25,0
2021-04-04,3.7,0.43250034150161,175.8568571428572,301.15048571428576,302.8614761904762,47.8,0.6398045580040972,1235.305526832244,1231.0,,260.68571428571425,303.37142857142857,1898.7428571428572,2106.0857142857144,2722.111532773709,3064.406123651935,0.8978218636718281,0.9685001611363979,0.6854644369438218,0.7094546207561688,271.2490897959184,300.8693714285714,292.52154285714283,318.188287755102,279.5577265306123,300.39109523809526,3.066666666666667,3.36,0
2021-04-05,3.111111111111111,0.7413714397349311,243.11439999999996,256.6430571428571,248.59560952380951,244.8,1.0174127127284982,2667.795589223855,1714.0,,246.82857142857145,287.25714285714287,1818.542857142857,2064.1285714285714,2612.124052107129,3014.5974893879547,0.8938598895117423,0.9670682350579444,0.6909812622263602,0.7082808932883936,259.542893877551,294.7510040816327,279.0755387755102,312.8449510204082,268.91905850340135,295.35477278911566,3.7,3.25,0
2021-04-06,3.193548387096774,0.9457225689858416,267.42851428571424,239.07180000000005,236.2432857142857,179.6,0.7910049632427986,2242.190789485572,1888.2,,214.42857142857142,267.6714285714285,1770.0,2031.0142857142857,2479.476622288574,2931.4773607670804,0.8658065903484076,0.9496483664537857,0.7266860292086842,0.7222225654277848,252.2775224489796,289.85505918367346,263.59695918367345,305.51179387755104,256.004137414966,289.08882721088435,3.111111111111111,3.090909090909091,0
2021-04-07,3.21875,0.793926383479954,177.14288571428574,189.97837142857145,207.9574476190476,245.0,0.7852824063054261,1468.0413211734485,1240.0,,216.82857142857142,257.45714285714286,1649.9714285714285,1952.4285714285713,2239.6249414626486,2794.433458662591,0.8355108017603027,0.9323855611097566,0.7469221939351175,0.7261702815573848,235.13058367346937,278.6285591836735,242.14798775510206,294.5469959183674,239.6810829931973,280.9952993197279,3.193548387096774,3.3,0
2021-04-08,3.303030303030303,1.6613253564965533,262.3431714285714,163.5640857142857,172.81418095238104,301.8,0.92417120002943,2358.6765619897837,1836.4,,238.05714285714285,259.8857142857143,1783.2285714285713,1922.9714285714285,2374.065878889761,2734.0852166164104,0.889792401764507,0.9267576696031564,0.9212231804022311,0.7935100455812306,254.1674367346939,274.4204224489796,248.85820000000004,281.8480224489796,244.87559455782315,270.54937210884356,3.21875,3.1666666666666665,0
